iter	Passed	Remaining
0	15	7622
1	27	6901
2	39	6520
3	50	6283
4	62	6236
5	76	6280
6	87	6170
7	99	6135
8	111	6086
9	123	6050
10	135	6005
11	146	5972
12	158	5952
13	171	5962
14	182	5915
15	194	5874
16	205	5836
17	216	5806
18	227	5769
19	238	5715
20	248	5670
21	260	5652
22	274	5685
23	287	5696
24	300	5703
25	311	5672
26	322	5640
27	332	5609
28	344	5589
29	354	5560
30	366	5540
31	377	5527
32	388	5500
33	398	5459
34	410	5447
35	421	5428
36	431	5405
37	443	5394
38	456	5393
39	469	5404
40	487	5462
41	503	5492
42	521	5541
43	544	5646
44	560	5668
45	580	5733
46	596	5747
47	614	5784
48	634	5836
49	651	5859
50	668	5888
51	690	5947
52	709	5985
53	728	6018
54	749	6065
55	779	6183
56	797	6200
57	816	6220
58	833	6233
59	854	6266
60	874	6294
61	897	6340
62	917	6366
63	935	6370
64	954	6384
65	970	6384
66	986	6373
67	1001	6364
68	1018	6363
69	1034	6354
70	1052	6358
71	1068	6348
72	1089	6371
73	1110	6395
74	1127	6388
75	1142	6374
76	1160	6373
77	1172	6340
78	1186	6325
79	1200	6302
80	1212	6271
81	1224	6241
82	1238	6224
83	1252	6201
84	1266	6184
85	1283	6179
86	1304	6191
87	1316	6162
88	1330	6145
89	1343	6119
90	1355	6090
91	1367	6065
92	1381	6044
93	1394	6023
94	1410	6011
95	1423	5991
96	1436	5966
97	1455	5969
98	1476	5979
99	1493	5972
100	1511	5971
101	1527	5958
102	1538	5931
103	1554	5919
104	1573	5920
105	1584	5890
106	1598	5872
107	1613	5857
108	1628	5843
109	1644	5829
110	1657	5809
111	1675	5802
112	1688	5781
113	1700	5757
114	1716	5746
115	1738	5754
116	1756	5750
117	1779	5760
118	1798	5759
119	1819	5761
120	1836	5753
121	1850	5733
122	1864	5713
123	1878	5695
124	1892	5677
125	1906	5659
126	1922	5647
127	1936	5627
128	1951	5613
129	1966	5596
130	1979	5574
131	1993	5557
132	2013	5555
133	2030	5544
134	2051	5546
135	2066	5530
136	2086	5527
137	2103	5517
138	2117	5500
139	2131	5481
140	2150	5475
141	2167	5464
142	2184	5454
143	2197	5433
144	2211	5414
145	2231	5410
146	2248	5400
147	2264	5386
148	2279	5368
149	2291	5347
150	2305	5327
151	2321	5315
152	2339	5306
153	2355	5291
154	2371	5277
155	2385	5259
156	2400	5243
157	2415	5228
158	2430	5212
159	2446	5198
160	2461	5182
161	2472	5158
162	2486	5141
163	2499	5120
164	2513	5102
165	2527	5085
166	2544	5073
167	2560	5060
168	2576	5045
169	2589	5026
170	2603	5008
171	2618	4993
172	2646	5003
173	2665	4993
174	2680	4978
175	2697	4965
176	2714	4953
177	2733	4945
178	2749	4930
179	2767	4920
180	2786	4910
181	2809	4908
182	2830	4903
183	2848	4892
184	2870	4888
185	2889	4878
186	2912	4874
187	2932	4867
188	2949	4854
189	2969	4845
190	2989	4836
191	3011	4830
192	3029	4818
193	3047	4807
194	3067	4797
195	3085	4786
196	3103	4772
197	3123	4763
