run,seed,split,RMSE,MAE,R2
1,42,val,0.027255419190811137,0.01840715517926083,0.8774626658486228
1,42,test,0.028889314819490326,0.018464425003926248,0.8564483626424351
2,52,val,0.026987741362039252,0.018104506456280655,0.8798577461746231
2,52,test,0.02871292965783034,0.018211397114506454,0.858195934815599
3,62,val,0.026746882641811034,0.018113850536468898,0.881992654765565
3,62,test,0.028968061526215283,0.018317465525285806,0.8556647078331179
4,72,val,0.02682310155706814,0.018288610316581726,0.8813191402222705
4,72,test,0.028681549503170947,0.01842924126230907,0.8585057187320628
5,82,val,0.026847505464230478,0.018199975880997695,0.8811030880847112
5,82,test,0.02910110176890012,0.01849220664542526,0.854335899741369
