model,experiment,feature_group,output_tag,target_column,target_source_column,test_prediction_rows,test_unique_keys,test_station_count,test_stations,test_variant_count,coverage_basis,rmse_mean,rmse_std,rmse_ci95,mae_mean,mae_std,mae_ci95,r2_mean,r2_std,r2_ci95
arima,arima__safe180,,safe180,target_48h,sm_0.05m,47226,47226,2,"Gevenich,Merzenhausen",1,single_saved_test_prediction_set,0.2709404686129775,0.0273673343571429,0.0379291903055933,0.2564460935036318,0.0245438347527434,0.0340160195003743,-12.24447794071269,1.2210438803930734,1.6922804795864648
knn,baseline_limited__light,baseline_limited,light,target_48h,,28671,9557,3,"Gevenich,Merzenhausen,Selhausen",3,all_saved_test_predictions_across_neighbor_count,0.038342085953094,0.0018593286373574,0.0021040284230089,0.0267479435935819,0.0012176740429857,0.001377927895546,0.7475546428117964,0.0245924818145712,0.02782901295154
knn,full_multiscale__light,full_multiscale,light,target_48h,,28671,9557,3,"Gevenich,Merzenhausen,Selhausen",3,all_saved_test_predictions_across_neighbor_count,0.0408599444607698,0.0020741708970293,0.0023471453264606,0.0285222339649357,0.0012450535088892,0.0014089106778848,0.7132677252482006,0.0292440888661917,0.0330928018550382
knn,short_lags__light,short_lags,light,target_48h,,28671,9557,3,"Gevenich,Merzenhausen,Selhausen",3,all_saved_test_predictions_across_neighbor_count,0.0388641777348966,0.0020901383810327,0.0023652142355883,0.0271338508937406,0.0012752112271774,0.0014430373487576,0.74053954417057,0.0280566127392952,0.031749046118459
knn,short_plus_medium__light,short_plus_medium,light,target_48h,,28671,9557,3,"Gevenich,Merzenhausen,Selhausen",3,all_saved_test_predictions_across_neighbor_count,0.0393176140442311,0.001812955282203,0.002051552031609,0.0276268277360176,0.0010744775861597,0.0012158858502708,0.7345852461754004,0.0246011322608073,0.0278388018529675
lstm,lstm__cpu40,,cpu40,target_48h,,79794,26598,3,"Gevenich,Merzenhausen,Selhausen",3,all_saved_test_predictions_across_seed,0.0587806321584686,0.003500524724456,0.0039612166282605,0.0487266187293773,0.0034744783068248,0.0039317423320481,0.3807254438829576,0.0723372426159192,0.081857295933603
prophet,prophet__safe,,safe,target_48h,sm_0.05m,68546,68546,3,"Gevenich,Merzenhausen,Selhausen",1,single_saved_test_prediction_set,0.0688247773057328,0.0203955014039225,0.0230796825225916,0.0557293718258384,0.0175638908879493,0.0198754135790625,0.0818025480969508,0.3086677193223739,0.3492904060482041
stacking,stack_linear__aligned,,,,,9557,9557,3,"Gevenich,Merzenhausen,Selhausen",1,single_saved_test_prediction_set,0.0288457225029902,0.0,0.0,0.0174243297596384,0.0,0.0,0.8573412426208986,0.0,0.0
xgboost,baseline_limited,baseline_limited,,target_48h,,47785,9557,3,"Gevenich,Merzenhausen,Selhausen",5,all_saved_test_predictions_across_seed,0.0285965298190053,0.0001205846769298,0.0001056971295867,0.0174196042974723,9.426970263044626e-05,8.263103761374448e-05,0.8597934052318085,0.0011814479875795,0.0010355848207463
xgboost,baseline_limited__strong,baseline_limited,strong,target_48h,,47785,9557,3,"Gevenich,Merzenhausen,Selhausen",5,all_saved_test_predictions_across_seed,0.0295880765598925,6.892104254624403e-05,6.041195739571428e-05,0.018358580619615,0.0001024367959946,8.97898105825585e-05,0.8499033681050104,0.0006994444059968,0.00061309005341
xgboost,full_multiscale,full_multiscale,,target_48h,,47785,9557,3,"Gevenich,Merzenhausen,Selhausen",5,all_saved_test_predictions_across_seed,0.0284718371518894,0.0003356418552975,0.0002942030577794,0.0172290507771423,0.0002020083681123,0.0001770681417042,0.860999981922351,0.0032658972271584,0.0028626851373221
xgboost,full_multiscale__strong,full_multiscale,strong,target_48h,,47785,9557,3,"Gevenich,Merzenhausen,Selhausen",5,all_saved_test_predictions_across_seed,0.0291223457131665,0.0002188068281359,0.000191792641128,0.018647377742518,0.0001091981687117,9.57164150771378e-05,0.8545854334818748,0.0021912754532166,0.001920737621361
xgboost,short_lags,short_lags,,target_48h,,47785,9557,3,"Gevenich,Merzenhausen,Selhausen",5,all_saved_test_predictions_across_seed,0.028682877698138,5.0543749826060726e-05,4.430355009593546e-05,0.0174355218760972,0.0001163536420237,0.0001019884639739,0.8589470688779919,0.0004969175471849,0.0004355674345694
xgboost,short_lags__strong,short_lags,strong,target_48h,,47785,9557,3,"Gevenich,Merzenhausen,Selhausen",5,all_saved_test_predictions_across_seed,0.0296760570460358,0.000183910540065,0.0001612046959907,0.0182745567740113,0.0001756090220029,0.000153928094579,0.8490054291088821,0.0018721009425029,0.0016409688275257
xgboost,short_plus_medium,short_plus_medium,,target_48h,,47785,9557,3,"Gevenich,Merzenhausen,Selhausen",5,all_saved_test_predictions_across_seed,0.0287877163409752,0.0001877196079771,0.0001645434912254,0.0175555004894028,0.0001926606746204,0.0001688745270966,0.8579095803750085,0.0018499903433925,0.0016215880328931
xgboost,short_plus_medium__strong,short_plus_medium,strong,target_48h,,47785,9557,3,"Gevenich,Merzenhausen,Selhausen",5,all_saved_test_predictions_across_seed,0.0297702035898339,9.42943030496224e-05,8.26526008318892e-05,0.0182652911547051,0.000158283216535,0.0001387413564928,0.8480493055555834,0.0009623631507973,0.0008435484942956
