model,split,evaluation_rows,stations_covered,RMSE_mean,RMSE_std,RMSE_ci95,MAE_mean,MAE_std,MAE_ci95,R2_mean,R2_std,R2_ci95
xgboost,test,9579,3,0.0288705914551214,0.0001757697967605,0.0001540690198675,0.0183829471102905,0.0001166583480816,0.0001022555506097,0.8566301247529168,0.0017462924743909,0.0015306928430831
stacking,test,3271,2,0.0297736238240518,0.0,0.0,0.0232422838228205,0.0,0.0,0.8589716118554556,0.0,0.0
knn,test,9579,3,0.0396461550021073,0.0,0.0,0.0277499251653506,0.0,0.0,0.7296441219757106,0.0,0.0
lstm,test,5010,3,0.0599814684629914,0.0044042429983784,0.004983870126153,0.0521700953443845,0.003856258970907,0.0043637678236394,0.4226405024528503,0.0829595493519206,0.0938775675743556
transformer,test,5010,3,0.0903590553191264,0.0038719296109269,0.0043815008221778,0.0766093507409095,0.0044043361602412,0.004983975548725,-0.3071594635645548,0.1132704249567387,0.1281775522663929
prophet,test,9579,3,0.1487057828824521,0.0,0.0,0.1266758259257639,0.0,0.0,-3.8734473127084783,0.0,0.0
arima,test,6867,2,0.1563152256955962,0.0,0.0,0.1348720702994406,0.0,0.0,-3.5588467278197182,0.0,0.0
xgboost,val,10216,3,0.026932130043192,0.0002006075905976,0.0001758403060764,0.0182228196739179,0.0001271830535598,0.0001114808617115,0.8803470590191586,0.0017877120990288,0.0015669987448298
knn,val,10216,3,0.041213436761971,0.0,0.0,0.0287617971591285,0.0,0.0,0.7198179173342525,0.0,0.0
lstm,val,13520,3,0.0599207439958842,0.0012726217467088,0.0014401070757563,0.0499689243733882,0.0008529327269643,0.0009651842414465,0.3986736536026001,0.0253797922541264,0.0287199385841974
prophet,val,10216,3,0.0666213403546194,0.0,0.0,0.0533964857316237,0.0,0.0,0.0309747173606279,0.0,0.0
transformer,val,13520,3,0.078965282455483,0.0005631575639167,0.0006372727754021,0.0618473142385482,0.0007514221690077,0.0008503142314412,-0.0440285603205362,0.0148614908592922,0.0168173600664162
arima,val,6845,2,0.1410353009860283,0.0,0.0,0.1209871809671812,0.0,0.0,-2.6851081446264464,0.0,0.0
