seed,split,rmse,mae,r2
42,val,0.0261013469052309,0.016735474931666987,0.8876126483387874
42,test,0.028426055443283527,0.017308399217914838,0.8614620388738423
52,val,0.026366114694247895,0.016984695548242078,0.8853210061863841
52,test,0.028655427565099707,0.01745448479054799,0.8592172708147636
62,val,0.026447603530803762,0.0168722061882302,0.8846110419679278
62,test,0.028522623930062305,0.01734381173460806,0.8605191626645999
72,val,0.02632444348692819,0.01701525152715662,0.8856832162249211
72,test,0.028727795338181518,0.017447446885836902,0.8585052941832871
82,val,0.02599478410319532,0.016540314303920584,0.8885284526897906
82,test,0.02865074681839982,0.017543878858453925,0.859263259622549
