seed,split,rmse,mae,r2
42,val,0.028765376416447688,0.019153219326422822,0.8635002918405814
42,test,0.02962399687880781,0.018415378074472865,0.849539361374096
52,val,0.028495280649800295,0.018765563715866334,0.866051616369582
52,test,0.029682553109123107,0.018454681002371503,0.8489439578986817
62,val,0.02894437722139896,0.01914172685358682,0.861796188985023
62,test,0.029521366107920093,0.018393836037139958,0.8505800813407817
72,val,0.028289603981173382,0.018567709483847866,0.8679782954284432
72,test,0.02952227684615316,0.018337195759377395,0.8505708619482042
82,val,0.027873590544076864,0.01840011877842206,0.8718326419820219
82,test,0.029590189857458423,0.018191812224713434,0.8498825779632881
