seed,split,rmse,mae,r2
42,val,0.02595129782337264,0.01682107276645963,0.8889010988513502
42,test,0.028807660808296314,0.01736831213437053,0.857717468368575
52,val,0.026445124277795988,0.01725403689373761,0.8846326745526828
52,test,0.027957987500954486,0.01696571044922748,0.8659868525980245
62,val,0.026031788159699254,0.016913746254126887,0.8882108631799702
62,test,0.028708259411283635,0.017484990208664362,0.8586976716566784
72,val,0.02592814254836898,0.016797462851627407,0.8890992683569247
72,test,0.028532645356815385,0.01717514315153049,0.8604211322339987
82,val,0.025701112164002095,0.01642914799504857,0.8910328897405175
82,test,0.02835263268209743,0.01715109794191877,0.8621767847544782
