seed,split,rmse,mae,r2
42,val,0.026388615340016814,0.018108713325512317,0.8851251902709028
42,test,0.028955874037608912,0.018595875534643824,0.8562496364537617
52,val,0.02654249942474738,0.01796110792030278,0.883781508744472
52,test,0.029475092733230655,0.01875618585684415,0.8510481318395987
62,val,0.026504834922943494,0.018168387383072998,0.8841111088882762
62,test,0.029154297347044004,0.018740246819017873,0.854272755854316
72,val,0.025877070329253685,0.01729401996784259,0.8895357337264169
72,test,0.029098467249855597,0.01865385111456974,0.8548303529709668
82,val,0.026525426789139234,0.017996216843241066,0.8839309685068818
82,test,0.028927997198093608,0.018490729387514736,0.8565262902907301
