seed,split,rmse,mae,r2
42,val,0.026464870843950283,0.01704756335796961,0.8844603207356604
42,test,0.028735517925519483,0.017380133506873046,0.8584292109279716
52,val,0.026374868585304398,0.016795096767305354,0.8852448437269729
52,test,0.028669465824380333,0.0172959001589248,0.8590792984495339
62,val,0.02630632517749628,0.016877499489518628,0.8858405235641377
62,test,0.028721926897369396,0.01739252134052121,0.8585630966345587
72,val,0.02606401418667982,0.016809402471005874,0.887933913353466
72,test,0.02860713780773595,0.017527909424672434,0.8596913614951667
82,val,0.02642216280047868,0.01692318644208967,0.8848329272854507
82,test,0.02868034003568529,0.017581144949494764,0.858972376882728
