seed,split,rmse,mae,r2
42,val,0.028235923089555217,0.018794257627986168,0.8684788551970304
42,test,0.029471587672085818,0.018026610124718637,0.8510835552642577
52,val,0.027440859136760073,0.0180991444516846,0.8757812917320463
52,test,0.02983329900764183,0.01821791445484867,0.8474057545411718
62,val,0.028704220843870868,0.019004923727677547,0.8640800752585927
62,test,0.029648015168154282,0.018367149458178994,0.8492952841042867
72,val,0.02814189052720689,0.018594949178298664,0.8693533920191607
72,test,0.029533219383475053,0.018263031293460987,0.8504600685319141
82,val,0.028580929098437128,0.018903525842719048,0.8652451872042093
82,test,0.02989416399882243,0.0184980785388496,0.8467824831027798
