seed,split,rmse,mae,r2
42,val,0.02627898525350869,0.016980212494063687,0.8860776900642742
42,test,0.02886250470282409,0.01762342404825263,0.8571751989923583
52,val,0.026216816394204957,0.017039931313862028,0.8866160702535913
52,test,0.028981027605363033,0.017726566191477746,0.8559997800676492
62,val,0.026269143711086587,0.017249951668030138,0.88616300243799
62,test,0.028510695836436055,0.01741712433669162,0.8606357993811041
72,val,0.02618759094151701,0.01690358873037076,0.8868687210435787
72,test,0.028689191562985484,0.017292607482886406,0.8588853135853184
82,val,0.02640020378138039,0.017169937946778582,0.8850242746086621
82,test,0.02889516199726746,0.017717780387705936,0.8568518098486131
