seed,split,rmse,mae,r2
42,val,0.027639023171301007,0.018402630152294996,0.8739807240980282
42,test,0.02974674067376897,0.018179293374748575,0.848289943873099
52,val,0.02760228037937019,0.018391204945421187,0.8743155566489937
52,test,0.029891391840759014,0.01853377057180203,0.8468108982463649
62,val,0.027548437072164304,0.018256851132900834,0.8748054194867718
62,test,0.02975572604057403,0.018283681005616812,0.8481982782752825
72,val,0.027623896501805353,0.01821845956368306,0.874118625519854
72,test,0.029637327668503886,0.01817545321733742,0.8494039164214943
82,val,0.027408908565973767,0.018183556742654542,0.8760703896830582
82,test,0.0298198317255638,0.018154257604021076,0.8475434909616765
